rowid,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
1,39.1,18.7,181,3750,Adelie
2,39.5,17.4,186,3800,Adelie
3,40.3,18,195,3250,Adelie
4,NA,NA,NA,NA,Adelie
5,36.7,19.3,193,3450,Adelie
6,39.3,20.6,190,3650,Adelie
7,38.9,17.8,181,3625,Adelie
8,39.2,19.6,195,4675,Adelie
9,34.1,18.1,193,3475,Adelie
10,42,20.2,190,4250,Adelie
11,37.8,17.1,186,3300,Adelie
12,37.8,17.3,180,3700,Adelie
13,41.1,17.6,182,3200,Adelie
14,38.6,21.2,191,3800,Adelie
15,34.6,21.1,198,4400,Adelie
16,36.6,17.8,185,3700,Adelie
17,38.7,19,195,3450,Adelie
18,42.5,20.7,197,4500,Adelie
19,34.4,18.4,NA,3325,Adelie
20,46,21.5,194,4200,Adelie
21,37.8,18.3,174,3400,Adelie
22,37.7,18.7,180,3600,Adelie
23,35.9,19.2,189,3800,Adelie
24,38.2,18.1,185,3950,Adelie
25,38.8,17.2,180,3800,Adelie
26,35.3,18.9,187,3800,Adelie
27,NA,18.6,183,3550,Adelie
28,40.5,17.9,187,3200,Adelie
29,37.9,18.6,172,3150,Adelie
30,40.5,18.9,180,3950,Adelie
31,39.5,16.7,178,3250,Adelie
32,37.2,18.1,178,3900,Adelie
33,39.5,17.8,188,3300,Adelie
34,40.9,18.9,184,3900,Adelie
35,36.4,17,195,3325,Adelie
36,39.2,21.1,196,4150,Adelie
37,38.8,20,190,3950,Adelie
38,42.2,18.5,180,3550,Adelie
39,37.6,19.3,181,3300,Adelie
40,NA,19.1,184,4650,Adelie
41,36.5,18,182,3150,Adelie
42,40.8,18.4,195,3900,Adelie
43,36,18.5,186,3100,Adelie
44,44.1,19.7,196,4400,Adelie
45,37,16.9,185,3000,Adelie
46,39.6,18.8,190,4600,Adelie
47,41.1,19,182,3425,Adelie
48,37.5,18.9,179,2975,Adelie
49,36,17.9,190,3450,Adelie
50,42.3,21.2,191,4150,Adelie
153,46.1,13.2,211,4500,Gentoo
154,50,16.3,230,5700,Gentoo
155,48.7,14.1,210,4450,Gentoo
156,50,15.2,218,5700,Gentoo
157,47.6,14.5,215,5400,Gentoo
158,46.5,13.5,210,4550,Gentoo
159,45.4,14.6,211,4800,Gentoo
160,46.7,15.3,219,5200,Gentoo
161,43.3,13.4,209,4400,Gentoo
162,46.8,15.4,215,5150,Gentoo
163,40.9,13.7,214,4650,Gentoo
164,49,16.1,216,5550,Gentoo
165,45.5,13.7,214,4650,Gentoo
166,48.4,14.6,213,5850,Gentoo
167,45.8,14.6,210,4200,Gentoo
168,49.3,15.7,217,5850,Gentoo
169,42,13.5,210,4150,Gentoo
170,49.2,15.2,221,6300,Gentoo
171,46.2,14.5,209,4800,Gentoo
172,48.7,15.1,222,5350,Gentoo
173,50.2,14.3,218,5700,Gentoo
174,45.1,14.5,215,5000,Gentoo
175,46.5,14.5,213,4400,Gentoo
176,46.3,15.8,215,5050,Gentoo
177,42.9,13.1,215,5000,Gentoo
178,46.1,15.1,215,5100,Gentoo
179,44.5,14.3,216,4100,Gentoo
180,47.8,15,215,5650,Gentoo
181,48.2,14.3,210,4600,Gentoo
182,50,15.3,220,5550,Gentoo
183,47.3,15.3,222,5250,Gentoo
184,42.8,14.2,209,4700,Gentoo
185,45.1,14.5,207,5050,Gentoo
186,59.6,17,230,6050,Gentoo
187,49.1,14.8,220,5150,Gentoo
188,48.4,16.3,220,5400,Gentoo
189,42.6,13.7,213,4950,Gentoo
190,44.4,17.3,219,5250,Gentoo
191,44,13.6,208,4350,Gentoo
192,48.7,15.7,208,5350,Gentoo
193,42.7,13.7,208,3950,Gentoo
194,49.6,16,225,5700,Gentoo
195,45.3,13.7,210,4300,Gentoo
196,49.6,15,216,4750,Gentoo
197,50.5,15.9,222,5550,Gentoo
198,43.6,13.9,217,4900,Gentoo
199,45.5,13.9,210,4200,Gentoo
200,50.5,15.9,225,5400,Gentoo
201,44.9,13.3,213,5100,Gentoo
202,45.2,15.8,215,5300,Gentoo
